0
"Helping > (state, phrasedAsCertain, bug)"
"Helping > (suggest, phrasedAsUnsure, personalInfo, vague)"
"Helping > (suggest, unknown, personalInfo, vague)"
"Helping > (guideInteractively, phrasedAsCertain, personalInfo, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, personalInfo, vague)"
"Helping > (guideInteractively, unknown, personalInfo, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, personalInfo, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, personalInfo, vague)"
"Helping > (teachWithExtensions, unknown, personalInfo, vague)"
"Helping > (explain, phrasedAsCertain, platformRelated, vague)"
"Helping > (explain, phrasedAsUnsure, platformRelated, vague)"
"Helping > (explain, unknown, platformRelated, vague)"
"Helping > (suggest, phrasedAsCertain, platformRelated, vague)"
"Helping > (suggest, phrasedAsUnsure, platformRelated, vague)"
"Helping > (suggest, unknown, platformRelated, vague)"
"Helping > (guideInteractively, phrasedAsCertain, platformRelated, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, platformRelated, vague)"
"Helping > (guideInteractively, unknown, platformRelated, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, platformRelated, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, platformRelated, vague)"
"Helping > (teachWithExtensions, unknown, platformRelated, vague)"
"Helping > (explain, phrasedAsCertain, proposedNewCode, vague)"
"Helping > (explain, phrasedAsUnsure, proposedNewCode, vague)"
"Helping > (explain, unknown, proposedNewCode, vague)"
"Helping > (suggest, phrasedAsCertain, proposedNewCode, vague)"
"Helping > (suggest, phrasedAsUnsure, proposedNewCode, vague)"
"Helping > (suggest, unknown, proposedNewCode, vague)"
"Helping > (guideInteractively, phrasedAsCertain, proposedNewCode, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, proposedNewCode, vague)"
"Helping > (guideInteractively, unknown, proposedNewCode, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, proposedNewCode, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, proposedNewCode, vague)"
"Helping > (teachWithExtensions, unknown, proposedNewCode, vague)"
"Helping > (explain, phrasedAsCertain, testCases, vague)"
"Helping > (explain, phrasedAsUnsure, testCases, vague)"
"Helping > (explain, unknown, testCases, vague)"
"Helping > (suggest, phrasedAsCertain, testCases, vague)"
"Helping > (suggest, phrasedAsUnsure, testCases, vague)"
"Helping > (suggest, unknown, testCases, vague)"
"Helping > (guideInteractively, phrasedAsCertain, testCases, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, testCases, vague)"
"Helping > (guideInteractively, unknown, testCases, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, testCases, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, testCases, vague)"
"Helping > (teachWithExtensions, unknown, testCases, vague)"
"Helping > (explain, phrasedAsCertain, bug, unknown)"
"Helping > (explain, phrasedAsUnsure, bug, unknown)"
"Helping > (explain, unknown, bug, unknown)"
"Helping > (suggest, phrasedAsCertain, bug, unknown)"
"Helping > (suggest, phrasedAsUnsure, bug, unknown)"
"Helping > (suggest, unknown, bug, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, bug, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, bug, unknown)"
"Helping > (guideInteractively, unknown, bug, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, bug, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, bug, unknown)"
"Helping > (teachWithExtensions, unknown, bug, unknown)"
"Helping > (explain, phrasedAsCertain, codeOpinion, unknown)"
"Helping > (explain, phrasedAsUnsure, codeOpinion, unknown)"
"Helping > (explain, unknown, codeOpinion, unknown)"
"Helping > (suggest, phrasedAsCertain, codeOpinion, unknown)"
"Helping > (suggest, phrasedAsUnsure, codeOpinion, unknown)"
"Helping > (suggest, unknown, codeOpinion, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, codeOpinion, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, codeOpinion, unknown)"
"Helping > (guideInteractively, unknown, codeOpinion, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, codeOpinion, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, codeOpinion, unknown)"
"Helping > (teachWithExtensions, unknown, codeOpinion, unknown)"
"Helping > (explain, phrasedAsCertain, codeSpecifications, unknown)"
"Helping > (explain, phrasedAsUnsure, codeSpecifications, unknown)"
"Helping > (explain, unknown, codeSpecifications, unknown)"
"Helping > (suggest, phrasedAsCertain, codeSpecifications, unknown)"
"Helping > (suggest, phrasedAsUnsure, codeSpecifications, unknown)"
"Helping > (suggest, unknown, codeSpecifications, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, codeSpecifications, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, codeSpecifications, unknown)"
"Helping > (guideInteractively, unknown, codeSpecifications, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, codeSpecifications, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, codeSpecifications, unknown)"
"Helping > (teachWithExtensions, unknown, codeSpecifications, unknown)"
"Helping > (explain, phrasedAsCertain, codingConcept, unknown)"
"Helping > (explain, phrasedAsUnsure, codingConcept, unknown)"
"Helping > (explain, unknown, codingConcept, unknown)"
"Helping > (suggest, phrasedAsCertain, codingConcept, unknown)"
"Helping > (suggest, phrasedAsUnsure, codingConcept, unknown)"
"Helping > (suggest, unknown, codingConcept, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, codingConcept, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, codingConcept, unknown)"
"Helping > (guideInteractively, unknown, codingConcept, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, codingConcept, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, codingConcept, unknown)"
"Helping > (teachWithExtensions, unknown, codingConcept, unknown)"
"Helping > (explain, phrasedAsCertain, codingExperience, unknown)"
"Helping > (explain, phrasedAsUnsure, codingExperience, unknown)"
"Helping > (explain, unknown, codingExperience, unknown)"
"Helping > (suggest, phrasedAsCertain, codingExperience, unknown)"
"Helping > (suggest, phrasedAsUnsure, codingExperience, unknown)"
"Helping > (suggest, unknown, codingExperience, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, codingExperience, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, codingExperience, unknown)"
"Helping > (guideInteractively, unknown, codingExperience, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, codingExperience, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, codingExperience, unknown)"
"Helping > (teachWithExtensions, unknown, codingExperience, unknown)"
"Helping > (explain, phrasedAsCertain, developmentStrategy, unknown)"
"Helping > (explain, phrasedAsUnsure, developmentStrategy, unknown)"
"Helping > (explain, unknown, developmentStrategy, unknown)"
"Helping > (suggest, phrasedAsCertain, developmentStrategy, unknown)"
"Helping > (suggest, phrasedAsUnsure, developmentStrategy, unknown)"
"Helping > (suggest, unknown, developmentStrategy, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, developmentStrategy, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, developmentStrategy, unknown)"
"Helping > (guideInteractively, unknown, developmentStrategy, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, developmentStrategy, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, developmentStrategy, unknown)"
"Helping > (teachWithExtensions, unknown, developmentStrategy, unknown)"
"Helping > (explain, phrasedAsCertain, errorLocation, unknown)"
"Helping > (explain, phrasedAsUnsure, errorLocation, unknown)"
"Helping > (explain, unknown, errorLocation, unknown)"
"Helping > (suggest, phrasedAsCertain, errorLocation, unknown)"
"Helping > (suggest, phrasedAsUnsure, errorLocation, unknown)"
"Helping > (suggest, unknown, errorLocation, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, errorLocation, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, errorLocation, unknown)"
"Helping > (guideInteractively, unknown, errorLocation, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, errorLocation, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, errorLocation, unknown)"
"Helping > (teachWithExtensions, unknown, errorLocation, unknown)"
"Helping > (explain, phrasedAsCertain, errorMsg, unknown)"
"Helping > (explain, phrasedAsUnsure, errorMsg, unknown)"
"Helping > (explain, unknown, errorMsg, unknown)"
"Helping > (suggest, phrasedAsCertain, errorMsg, unknown)"
"Helping > (suggest, phrasedAsUnsure, errorMsg, unknown)"
"Helping > (suggest, unknown, errorMsg, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, errorMsg, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, errorMsg, unknown)"
"Helping > (guideInteractively, unknown, errorMsg, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, errorMsg, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, errorMsg, unknown)"
"Helping > (teachWithExtensions, unknown, errorMsg, unknown)"
"Helping > (explain, phrasedAsCertain, learningResources, unknown)"
"Helping > (explain, phrasedAsUnsure, learningResources, unknown)"
"Helping > (explain, unknown, learningResources, unknown)"
"Helping > (suggest, phrasedAsCertain, learningResources, unknown)"
"Helping > (suggest, phrasedAsUnsure, learningResources, unknown)"
"Helping > (suggest, unknown, learningResources, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, learningResources, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, learningResources, unknown)"
"Helping > (guideInteractively, unknown, learningResources, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, learningResources, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, learningResources, unknown)"
"Helping > (teachWithExtensions, unknown, learningResources, unknown)"
"Helping > (explain, phrasedAsCertain, originalCode, unknown)"
"Helping > (explain, phrasedAsUnsure, originalCode, unknown)"
"Helping > (explain, unknown, originalCode, unknown)"
"Helping > (suggest, phrasedAsCertain, originalCode, unknown)"
"Helping > (suggest, phrasedAsUnsure, originalCode, unknown)"
"Helping > (suggest, unknown, originalCode, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, originalCode, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, originalCode, unknown)"
"Helping > (guideInteractively, unknown, originalCode, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, originalCode, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, originalCode, unknown)"
"Helping > (teachWithExtensions, unknown, originalCode, unknown)"
"Helping > (explain, phrasedAsCertain, personalInfo, unknown)"
"Helping > (explain, phrasedAsUnsure, personalInfo, unknown)"
"Helping > (explain, unknown, personalInfo, unknown)"
"Helping > (suggest, phrasedAsCertain, personalInfo, unknown)"
"Helping > (suggest, phrasedAsUnsure, personalInfo, unknown)"
"Helping > (suggest, unknown, personalInfo, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, personalInfo, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, personalInfo, unknown)"
"Helping > (guideInteractively, unknown, personalInfo, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, personalInfo, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, personalInfo, unknown)"
"Helping > (teachWithExtensions, unknown, personalInfo, unknown)"
"Helping > (explain, phrasedAsCertain, platformRelated, unknown)"
"Helping > (explain, phrasedAsUnsure, platformRelated, unknown)"
"Helping > (explain, unknown, platformRelated, unknown)"
"Helping > (suggest, phrasedAsCertain, platformRelated, unknown)"
"Helping > (suggest, phrasedAsUnsure, platformRelated, unknown)"
"Helping > (suggest, unknown, platformRelated, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, platformRelated, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, platformRelated, unknown)"
"Helping > (guideInteractively, unknown, platformRelated, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, platformRelated, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, platformRelated, unknown)"
"Helping > (teachWithExtensions, unknown, platformRelated, unknown)"
"Helping > (explain, phrasedAsCertain, proposedNewCode, unknown)"
"Helping > (explain, phrasedAsUnsure, proposedNewCode, unknown)"
"Helping > (explain, unknown, proposedNewCode, unknown)"
"Helping > (suggest, phrasedAsCertain, proposedNewCode, unknown)"
"Helping > (suggest, phrasedAsUnsure, proposedNewCode, unknown)"
"Helping > (suggest, unknown, proposedNewCode, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, proposedNewCode, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, proposedNewCode, unknown)"
"Helping > (guideInteractively, unknown, proposedNewCode, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, proposedNewCode, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, proposedNewCode, unknown)"
"Helping > (teachWithExtensions, unknown, proposedNewCode, unknown)"
"Helping > (explain, phrasedAsCertain, testCases, unknown)"
"Helping > (explain, phrasedAsUnsure, testCases, unknown)"
"Helping > (explain, unknown, testCases, unknown)"
"Helping > (suggest, phrasedAsCertain, testCases, unknown)"
"Helping > (suggest, phrasedAsUnsure, testCases, unknown)"
"Helping > (suggest, unknown, testCases, unknown)"
"Helping > (guideInteractively, phrasedAsCertain, testCases, unknown)"
"Helping > (guideInteractively, phrasedAsUnsure, testCases, unknown)"
"Helping > (guideInteractively, unknown, testCases, unknown)"
"Helping > (teachWithExtensions, phrasedAsCertain, testCases, unknown)"
"Helping > (teachWithExtensions, phrasedAsUnsure, testCases, unknown)"
"Helping > (teachWithExtensions, unknown, testCases, unknown)"
"Questioning > (bug, detailed, checkForFollowing)"
"Questioning > (bug, vague, checkForFollowing)"
"Questioning > (bug, unknown, checkForFollowing)"
"Questioning > (codeOpinion, detailed, checkForFollowing)"
"Questioning > (codeOpinion, vague, checkForFollowing)"
"Questioning > (codeOpinion, unknown, checkForFollowing)"
"Questioning > (codeSpecifications, detailed, checkForFollowing)"
"Questioning > (codeSpecifications, vague, checkForFollowing)"
"Questioning > (codeSpecifications, unknown, checkForFollowing)"
"Questioning > (codingConcept, detailed, checkForFollowing)"
"Questioning > (codingConcept, vague, checkForFollowing)"
"Questioning > (codingConcept, unknown, checkForFollowing)"
"Questioning > (codingExperience, detailed, checkForFollowing)"
"Questioning > (codingExperience, vague, checkForFollowing)"
"Questioning > (codingExperience, unknown, checkForFollowing)"
"Questioning > (developmentStrategy, detailed, checkForFollowing)"
"Questioning > (developmentStrategy, vague, checkForFollowing)"
"Questioning > (developmentStrategy, unknown, checkForFollowing)"
"Questioning > (errorLocation, detailed, checkForFollowing)"
"Questioning > (errorLocation, vague, checkForFollowing)"
"Questioning > (errorLocation, unknown, checkForFollowing)"
"Questioning > (errorMsg, detailed, checkForFollowing)"
"Questioning > (errorMsg, vague, checkForFollowing)"
"Questioning > (errorMsg, unknown, checkForFollowing)"
"Questioning > (learningResources, detailed, checkForFollowing)"
"Questioning > (learningResources, vague, checkForFollowing)"
"Questioning > (learningResources, unknown, checkForFollowing)"
"Questioning > (originalCode, detailed, checkForFollowing)"
"Questioning > (originalCode, vague, checkForFollowing)"
"Questioning > (originalCode, unknown, checkForFollowing)"
"Questioning > (personalInfo, detailed, checkForFollowing)"
"Questioning > (personalInfo, vague, checkForFollowing)"
"Questioning > (personalInfo, unknown, checkForFollowing)"
"Questioning > (platformRelated, detailed, checkForFollowing)"
"Questioning > (platformRelated, vague, checkForFollowing)"
"Questioning > (platformRelated, unknown, checkForFollowing)"
"Questioning > (proposedNewCode, detailed, checkForFollowing)"
"Questioning > (proposedNewCode, vague, checkForFollowing)"
"Questioning > (proposedNewCode, unknown, checkForFollowing)"
"Questioning > (testCases, detailed, checkForFollowing)"
"Questioning > (testCases, vague, checkForFollowing)"
"Questioning > (testCases, unknown, checkForFollowing)"
"Questioning > (bug, detailed, checkIfCorrect)"
"Questioning > (bug, vague, checkIfCorrect)"
"Questioning > (bug, unknown, checkIfCorrect)"
"Questioning > (codeOpinion, detailed, checkIfCorrect)"
"Questioning > (codeOpinion, vague, checkIfCorrect)"
"Questioning > (codeOpinion, unknown, checkIfCorrect)"
"Questioning > (codeSpecifications, detailed, checkIfCorrect)"
"Questioning > (codeSpecifications, vague, checkIfCorrect)"
"Questioning > (codeSpecifications, unknown, checkIfCorrect)"
"Questioning > (codingConcept, detailed, checkIfCorrect)"
"Questioning > (codingConcept, vague, checkIfCorrect)"
"Questioning > (codingConcept, unknown, checkIfCorrect)"
"Questioning > (codingExperience, detailed, checkIfCorrect)"
"Questioning > (codingExperience, vague, checkIfCorrect)"
"Questioning > (codingExperience, unknown, checkIfCorrect)"
"Questioning > (developmentStrategy, detailed, checkIfCorrect)"
"Questioning > (developmentStrategy, vague, checkIfCorrect)"
"Questioning > (developmentStrategy, unknown, checkIfCorrect)"
"Questioning > (errorLocation, detailed, checkIfCorrect)"
"Questioning > (errorLocation, vague, checkIfCorrect)"
"Questioning > (errorLocation, unknown, checkIfCorrect)"
"Questioning > (errorMsg, detailed, checkIfCorrect)"
"Questioning > (errorMsg, vague, checkIfCorrect)"
"Questioning > (errorMsg, unknown, checkIfCorrect)"
"Questioning > (learningResources, detailed, checkIfCorrect)"
"Questioning > (learningResources, vague, checkIfCorrect)"
"Questioning > (learningResources, unknown, checkIfCorrect)"
"Questioning > (originalCode, detailed, checkIfCorrect)"
"Questioning > (originalCode, vague, checkIfCorrect)"
"Questioning > (originalCode, unknown, checkIfCorrect)"
"Questioning > (personalInfo, detailed, checkIfCorrect)"
"Questioning > (personalInfo, vague, checkIfCorrect)"
"Questioning > (personalInfo, unknown, checkIfCorrect)"
"Questioning > (platformRelated, detailed, checkIfCorrect)"
"Questioning > (platformRelated, vague, checkIfCorrect)"
"Questioning > (platformRelated, unknown, checkIfCorrect)"
"Questioning > (proposedNewCode, detailed, checkIfCorrect)"
"Questioning > (proposedNewCode, vague, checkIfCorrect)"
"Questioning > (proposedNewCode, unknown, checkIfCorrect)"
"Questioning > (testCases, detailed, checkIfCorrect)"
"Questioning > (testCases, vague, checkIfCorrect)"
"Questioning > (testCases, unknown, checkIfCorrect)"
"Questioning > (bug, detailed, content)"
"Questioning > (bug, vague, content)"
"Questioning > (bug, unknown, content)"
"Questioning > (codeOpinion, detailed, content)"
"Questioning > (codeOpinion, vague, content)"
"Questioning > (codeOpinion, unknown, content)"
"Questioning > (codeSpecifications, detailed, content)"
"Questioning > (codeSpecifications, vague, content)"
"Questioning > (codeSpecifications, unknown, content)"
"Questioning > (codingConcept, detailed, content)"
"Questioning > (codingConcept, vague, content)"
"Questioning > (codingConcept, unknown, content)"
"Questioning > (codingExperience, detailed, content)"
"Questioning > (codingExperience, vague, content)"
"Questioning > (codingExperience, unknown, content)"
"Questioning > (developmentStrategy, detailed, content)"
"Questioning > (developmentStrategy, vague, content)"
"Questioning > (developmentStrategy, unknown, content)"
"Questioning > (errorLocation, detailed, content)"
"Questioning > (errorLocation, vague, content)"
"Questioning > (errorLocation, unknown, content)"
"Questioning > (errorMsg, detailed, content)"
"Questioning > (errorMsg, vague, content)"
"Questioning > (errorMsg, unknown, content)"
"Questioning > (learningResources, detailed, content)"
"Questioning > (learningResources, vague, content)"
"Questioning > (learningResources, unknown, content)"
"Questioning > (originalCode, detailed, content)"
"Questioning > (originalCode, vague, content)"
"Questioning > (originalCode, unknown, content)"
"Questioning > (personalInfo, detailed, content)"
"Questioning > (personalInfo, vague, content)"
"Questioning > (personalInfo, unknown, content)"
"Questioning > (platformRelated, detailed, content)"
"Questioning > (platformRelated, vague, content)"
"Questioning > (platformRelated, unknown, content)"
"Questioning > (proposedNewCode, detailed, content)"
"Questioning > (proposedNewCode, vague, content)"
"Questioning > (proposedNewCode, unknown, content)"
"Questioning > (testCases, detailed, content)"
"Questioning > (testCases, vague, content)"
"Questioning > (testCases, unknown, content)"
"Questioning > (bug, detailed, guiding)"
"Questioning > (bug, vague, guiding)"
"Questioning > (bug, unknown, guiding)"
"Questioning > (codeOpinion, detailed, guiding)"
"Questioning > (codeOpinion, vague, guiding)"
"Questioning > (codeOpinion, unknown, guiding)"
"Questioning > (codeSpecifications, detailed, guiding)"
"Questioning > (codeSpecifications, vague, guiding)"
"Questioning > (codeSpecifications, unknown, guiding)"
"Questioning > (codingConcept, detailed, guiding)"
"Questioning > (codingConcept, vague, guiding)"
"Questioning > (codingConcept, unknown, guiding)"
"Questioning > (codingExperience, detailed, guiding)"
"Questioning > (codingExperience, vague, guiding)"
"Questioning > (codingExperience, unknown, guiding)"
"Questioning > (developmentStrategy, detailed, guiding)"
"Questioning > (developmentStrategy, vague, guiding)"
"Questioning > (developmentStrategy, unknown, guiding)"
"Questioning > (errorLocation, detailed, guiding)"
"Questioning > (errorLocation, vague, guiding)"
"Questioning > (errorLocation, unknown, guiding)"
"Questioning > (errorMsg, detailed, guiding)"
"Questioning > (errorMsg, vague, guiding)"
"Questioning > (errorMsg, unknown, guiding)"
"Questioning > (learningResources, detailed, guiding)"
"Questioning > (learningResources, vague, guiding)"
"Questioning > (learningResources, unknown, guiding)"
"Questioning > (originalCode, detailed, guiding)"
"Questioning > (originalCode, vague, guiding)"
"Questioning > (originalCode, unknown, guiding)"
"Questioning > (personalInfo, detailed, guiding)"
"Questioning > (personalInfo, vague, guiding)"
"Questioning > (personalInfo, unknown, guiding)"
"Questioning > (platformRelated, detailed, guiding)"
"Questioning > (platformRelated, vague, guiding)"
"Questioning > (platformRelated, unknown, guiding)"
"Questioning > (proposedNewCode, detailed, guiding)"
"Questioning > (proposedNewCode, vague, guiding)"
"Questioning > (proposedNewCode, unknown, guiding)"
"Questioning > (testCases, detailed, guiding)"
"Questioning > (testCases, vague, guiding)"
"Questioning > (testCases, unknown, guiding)"
"Questioning > (bug, detailed, personal)"
"Questioning > (bug, vague, personal)"
"Questioning > (bug, unknown, personal)"
"Questioning > (codeOpinion, detailed, personal)"
"Questioning > (codeOpinion, vague, personal)"
"Questioning > (codeOpinion, unknown, personal)"
"Questioning > (codeSpecifications, detailed, personal)"
"Questioning > (codeSpecifications, vague, personal)"
"Questioning > (codeSpecifications, unknown, personal)"
"Questioning > (codingConcept, detailed, personal)"
"Questioning > (codingConcept, vague, personal)"
"Questioning > (codingConcept, unknown, personal)"
"Questioning > (codingExperience, detailed, personal)"
"Questioning > (codingExperience, vague, personal)"
"Questioning > (codingExperience, unknown, personal)"
"Questioning > (developmentStrategy, detailed, personal)"
"Questioning > (developmentStrategy, vague, personal)"
"Questioning > (developmentStrategy, unknown, personal)"
"Questioning > (errorLocation, detailed, personal)"
"Questioning > (errorLocation, vague, personal)"
"Questioning > (errorLocation, unknown, personal)"
"Questioning > (errorMsg, detailed, personal)"
"Questioning > (errorMsg, vague, personal)"
"Questioning > (errorMsg, unknown, personal)"
"Questioning > (learningResources, detailed, personal)"
"Questioning > (learningResources, vague, personal)"
"Questioning > (learningResources, unknown, personal)"
"Questioning > (originalCode, detailed, personal)"
"Questioning > (originalCode, vague, personal)"
"Questioning > (originalCode, unknown, personal)"
"Questioning > (personalInfo, detailed, personal)"
"Questioning > (personalInfo, vague, personal)"
"Questioning > (personalInfo, unknown, personal)"
"Questioning > (platformRelated, detailed, personal)"
"Questioning > (platformRelated, vague, personal)"
"Questioning > (platformRelated, unknown, personal)"
"Questioning > (proposedNewCode, detailed, personal)"
"Questioning > (proposedNewCode, vague, personal)"
"Questioning > (proposedNewCode, unknown, personal)"
"Questioning > (testCases, detailed, personal)"
"Questioning > (testCases, vague, personal)"
"Questioning > (testCases, unknown, personal)"
"Attitude, tone, or mood > expressNegativity > beingLost"
"Attitude, tone, or mood > expressNegativity > frustration"
"Attitude, tone, or mood > expressNegativity > selfTalk"
"Attitude, tone, or mood > expressPositivity > apology"
"Attitude, tone, or mood > expressPositivity > beingWrong"
"Attitude, tone, or mood > expressPositivity > expressSatisfactionOrGratitude"
"Attitude, tone, or mood > expressPositivity > expressSupportingWords"
"Attitude, tone, or mood > expressPositivity > greeting"
"Attitude, tone, or mood > expressTeachingPhilosophy"
Big picture of an interaction > request > bugFix
Big picture of an interaction > request > codeComprehension
Big picture of an interaction > request > codeImprove
Big picture of an interaction > request > codeWrite
Big picture of an interaction > resolveRequest > failure
Big picture of an interaction > resolveRequest > success
